Capacity,Optimization,Best Response,Replicator Dynamics,Fictitious Play,MCTS,Allocation Algorithm
4093,0.0,136390.07040000614,124318.36848160942,131857.03590046556,127210.04583826043,133445.39841204902
4099,0.0,118893.44753452559,115623.98794969967,110220.79455780685,116294.6561978076,105520.77071403984
4111,0.0,107818.36818455625,114225.8018316714,108956.59818797588,113331.17703282446,111151.79725931812
4127,0.0,154259.11952815403,135459.69392221092,148801.6385600836,148537.89417379137,145316.85173437794
4129,0.0,139802.48908433068,149055.63828830997,138265.5514520071,140753.1704684018,140834.47396471366
4133,0.0,125220.19219813778,124682.09613873872,133048.04231544505,134761.92447931002,133024.12810104754
4139,146271.50871059104,150818.0211919718,146820.89279057464,153152.7361263125,154009.1856069718,144230.74516277548
4153,0.0,102812.38796172562,103578.74493984759,105664.42417920893,111612.02633685134,112742.22243927933
4157,0.0,103977.23756590896,113332.03643168697,109461.47894499755,118533.71461371632,107789.20169370943
4159,0.0,115381.56521926055,136021.53814402156,126829.74003766663,124939.89580078296,121059.02660638842
4177,0.0,172611.96743537486,160032.96549644752,162124.37512697207,160209.72673892346,151832.32814106505
4201,0.0,80383.66328399547,85674.87024142513,78310.28338116409,86050.82447326386,87579.01714683132
4211,139297.90257273178,147511.8149866853,140706.5548862443,131354.54705714158,143091.36712506053,129449.05834080737
4217,0.0,118213.25853424404,116560.21329727069,124893.80326852143,140671.10252963312,132077.38443991862
4219,0.0,151539.70579652817,150114.30055292693,145298.13795905813,156511.74064501902,160910.09415784237
4229,0.0,122444.25115305351,122416.71053830045,127328.71542357048,139573.41230576622,124681.04366286687
4231,0.0,128696.45934078946,122919.11127385843,136432.96916433115,119166.5817642891,128002.31754742254
4241,0.0,100704.04278367141,103066.85484362896,102260.97991195647,98334.86171141593,100017.49718205348
4243,0.0,169956.4580918688,156976.97209020585,160321.14939464303,170705.5469254315,163461.03361587686
4253,0.0,150503.60985008552,135786.99519017653,129775.94321443586,142633.6297255747,138511.8264306843
4259,0.0,121386.46426411415,123992.54319599646,129332.17695134926,134070.2754264092,132166.3616998524
4261,0.0,191411.28550748434,199720.34775824042,195058.07446152077,182031.41227102306,184757.1857784839
4271,0.0,144966.1387064212,169251.28972052253,169634.16276864972,173607.33860309454,175526.70712187616
4273,0.0,133212.24977524005,130456.69413080355,121178.53798240253,136246.3865194996,119202.2714847004
4283,0.0,113623.04095614316,122822.9249591781,115209.81115494891,124468.86364805214,118707.3581397984
4289,0.0,146255.94007072132,150183.61204282683,28679.919160332276,145847.92504280843,147340.5906237413
4297,0.0,164537.8133932014,168343.2601715682,151286.52598643623,164623.91959895685,155981.99615295167
4327,0.0,134352.27406920746,147090.87177377337,138805.93590196813,149389.3149342371,159816.4481951946
4337,0.0,202076.94314533458,211147.17069073787,205324.28263024698,215354.0348397693,195565.64449560118
4339,0.0,127833.528049883,136544.322662915,120577.20188129533,131449.68103867586,140723.6954089591
